Título da Obra;isbn;qualis
Diferentes Conexões em Ciência, Tecnologia e Sociedade;9788579933288 ;L1
Difusão de Políticas Públicas;9788568576502 ;L1
Dilemas de um partido de governo: conflitos entre PT e Governo Lula;9790000000000 ;L3
Dimensões e desafios políticos para a diversidade cultural;9788523213039 ;L4
Dimensões Políticas da Justiça;9790000000000 ;L3
DIMENSÕES POLÍTICAS DA JUSTIÇA;9790000000000 ;L3
Dimensões Políticas da Justiça;8520011691 ;L3
Dinâmicas Periférico-Estratégicas da fronteira da Amazônia setentrional: das políticas públicas e redes institucionais à integração espacial;9790000000000 ;L2
Dinamismo y diversidad en la ciencia política latinoamericana: VII Congreso de la Asociación Latinoamericana de Ciencia Política;9789587743098 ;L3
Direita Volver!;9788576432920 ;L2
'DIREITA VOLVER: O QUE RESTA DAS DITADURAS NA AMÉRICA LATINA';9790000000000 ;L2
Direita, volver! : o retorno da direita e o ciclo político brasileiro.;9790000000000 ;L2
Direito à diferença - Aspectos institucionais e instrumentais de proteção às minorias e grupos vulneráveis;9790000000000 ;L2
Direito à diferença 2: Aspectos de proteção específica às minorias e aos grupos vulneráveis (no prelo);9790000000000 ;L2
Direito Ambiental Internacional: avanços e retrocessos. 40 Anos de Conferências das Nações Unidas;9790000000000 ;L1
Direito Constitucional;9790000000000 ;L2
Direito do Mar: desafios e perpectivas;979000000000 ;L1
Direito e experiências jurídicas: debates práticos;9790000000000 ;L2
Direito e experiências jurídicas: temas de história do direito.;9790000000000 ;L2
Direito e saúde global - o caso da pandemia de gripe A (H1N1);9790000000000 ;L3
Direito Eleitoral em Debate;9788574639642 ;L2
Direito Empresarial I;9790000000000 ;L1
DIREITO GLOBAL E SUAS ALTERNATIVAS METODOLÓGICAS: PRIMEIROS PASSOS.;9788564678279 ;L2
Direito Internacional;9790000000000 ;L2
DIREITO INTERNACIONAL ANUAL;9790000000000 ;L2
Direito Internacional Contemporâneo;9790000000000 ;L2
Direito Internacional da Guerra;9790000000000 ;L1
Direito Internacional dos Investimentos;999999999X;L3
Direito Internacional e Bioética Socioambienta;9790000000000 ;L1
DIREITO INTERNACIONAL EM EXPANSÃO;9788582382455 ;L3
Direito internacional no Nosso Tempo. Volume II.;9788582380475 ;L1
Direito Internacional no Nosso Tempo: A Proteção do Indivíduo e da Coletividade;9790000000000 ;L1
Direito Internacional no Nosso Tempo: Desafios, Fundamentos e Integração;9790000000000 ;L1
Direito Internacional no Nosso Tempo: Relações Jurídicas Privadas, Comerciais e dos Investimentos;9790000000000 ;L1
Direito Internacional Privado e Bioética Socioambiental;9790000000000 ;L1
Direito, democracia e internacionalização da Constituição: Direito(s) em debate;9788564680081 ;L1
Direitos em conflito: movimentos sociais, resistência e casos judicializados: artigos e ensaios;9790000000000 ;L4
Direitos Fundamentais e Jurisdição Constitucional: Análise, Crítica e Contribuições;9790000000000 ;L1
Direitos Humanos Atual;9790000000000 ;L1
Direitos humanos e trabalho decente;9788545001973 ;L1
Direitos Humanos na Ordem Contemporânea;9788536251240 ;L1
Direitos Humanos no Brasil 2014;9790000000000 ;L1
Direitos Humanos no Brasil 2015;9790000000000 ;L1
Direitos Humanos, Cidadania e Violência no Brasil;9790000000000 ;L1
Direitos Humanos, Cidadania e Violência no Brasil - Estudos Interdisciplinares;9790000000000 ;L1
Direitos humanos, cidadania e violência no Brasil: estudos interdisciplinares;9790000000000 ;L1
Direitos Humanos, Democracia e Justiça;9790000000000 ;L1
Direitos Humanos, Políticas Públicas e Cidadania;9790000000000 ;L1
Direitos Humanos, Relações Internacionais e Meio Ambiente;9790000000000 ;L3
Direitos, Resistência e Mobilizações: A luta dos quilombolas de Alcântara contra a Base Espacial;97788599274392 ;L3
Discussões Contemporâneas Sobre Trabalho Escravo: Teoria E Pesquisa;9788574788401 ;L1
Disputing Citizenship;9780000000000 ;L2
Ditadura: o que resta da transição?;9790000000000 ;L1
Diucionário de Políticas Públicas;9790000000000 ;L2
Do 11 de setembro de 2001 à guerra ao terror: reflexões sobre o terrorismo no século;9790000000000 ;L3
Do clique à urna: internet, redes sociais e eleições no Brasil.;9790000000000 ;L2
Doctrinas y relaciones de poder en el Cisma de Occidente y en la época conciliar (1378-1449);9790000000000 ;L3
DOMÍNIO DAS TECNOLOGIAS - HOMENAGEM A HERMÍNIO MARTINS;97900000000000 ;L2
DOS INTELECTUAIS NA POLÍTICA À POLÍTICA DOS INTELECTUAIS. PENSADORES, ESCRITORES E MILITANTES NO DIÁLOGO COM O PODER;9790000000000 ;L3
Dos sertões aos mares: história do comércio e dos comerciantes da cidade de Parnaíba,Piaui;9790000000000 ;L2
Drogas, política y sociedad en America Latina y Caribe;9790000000000 ;L4
Drug Policies and the Politics of Drugs in the Americas.;9783319290829 ;L4
Du Brésil à l'Atlantique. Essais pour une histoire des échanges culturels internationaux. Mélanges offerts à Guy Martinière;9780000000000 ;L3
ECONOMIA BRASILEIRA PARA CONCURSOS;9788535272079 ;L1
Economia Criativa, Cultura e Políticas Públicas;9788538603214 ;L3
Edmund Burke: Redescobrindo um Gênio;9788580332742 ;L2
Educação à distância em nível superior: estratégias, modelos e indicadores de qualidade;9790000000000 ;L2
